@relation InstanceResultListener

@attribute Key_Dataset {optdigits,'optdigits-weka.filters.unsupervised.attribute.Remove-V-R43-44,31,29,27,11,22,47,21,19,35,14,34,39,51,59,28,55,30,62,37,45,36,3,20,38,6,52-53,63,42,10,46,60,23,54,61,26,18,4,7,13,5,2,15,12,58,64,56,50,16,8,24,41,48-49,32-33,25,17,9,57,40,1,65','optdigits-weka.filters.unsupervised.attribute.Remove-V-R41,49,31,48,34,64,33,8,22,42,24,32,23,43,63,56,44,16,29,55,37,35,2,39,7,62,47,21,10,27,19,3,14,30,26,11,59,36,20,45,61,54,28,58,38,52,6,15,51,60,46,53,13,18,4-5,50,12,9,40,25,57,17,1,65','optdigits-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.lazy.IBk,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',''}
@attribute Key_Scheme_version_ID {-217733168393644444,-3080186098777067172,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 208\nSize of the tree: 415\n','Number of leaves: 203\nSize of the tree: 405\n','Number of leaves: 194\nSize of the tree: 387\n','Number of leaves: 221\nSize of the tree: 441\n','Number of leaves: 215\nSize of the tree: 429\n','Number of leaves: 204\nSize of the tree: 407\n','Number of leaves: 212\nSize of the tree: 423\n','Number of leaves: 224\nSize of the tree: 447\n','Number of leaves: 217\nSize of the tree: 433\n','Number of leaves: 214\nSize of the tree: 427\n','Number of leaves: 207\nSize of the tree: 413\n','Number of leaves: 218\nSize of the tree: 435\n','Number of leaves: 210\nSize of the tree: 419\n','Number of leaves: 193\nSize of the tree: 385\n','Number of leaves: 206\nSize of the tree: 411\n','Number of leaves: 201\nSize of the tree: 401\n','Number of leaves: 205\nSize of the tree: 409\n','Number of leaves: 197\nSize of the tree: 393\n','Number of leaves: 209\nSize of the tree: 417\n','Number of leaves: 202\nSize of the tree: 403\n','Number of leaves: 189\nSize of the tree: 377\n','Number of leaves: 196\nSize of the tree: 391\n','Number of leaves: 191\nSize of the tree: 381\n','Number of leaves: 198\nSize of the tree: 395\n','Number of leaves: 200\nSize of the tree: 399\n','Number of leaves: 211\nSize of the tree: 421\n','Number of leaves: 199\nSize of the tree: 397\n','Number of leaves: 219\nSize of the tree: 437\n','Number of leaves: 223\nSize of the tree: 445\n','Number of leaves: 226\nSize of the tree: 451\n','Number of leaves: 237\nSize of the tree: 473\n','Number of leaves: 236\nSize of the tree: 471\n','Number of leaves: 247\nSize of the tree: 493\n','Number of leaves: 234\nSize of the tree: 467\n','Number of leaves: 227\nSize of the tree: 453\n','Number of leaves: 242\nSize of the tree: 483\n','Number of leaves: 233\nSize of the tree: 465\n','Number of leaves: 238\nSize of the tree: 475\n','Number of leaves: 222\nSize of the tree: 443\n','Number of leaves: 220\nSize of the tree: 439\n','Number of leaves: 231\nSize of the tree: 461\n','Number of leaves: 213\nSize of the tree: 425\n','Number of leaves: 232\nSize of the tree: 463\n','Number of leaves: 239\nSize of the tree: 477\n','Number of leaves: 230\nSize of the tree: 459\n','Number of leaves: 243\nSize of the tree: 485\n','Number of leaves: 228\nSize of the tree: 455\n','Number of leaves: 229\nSize of the tree: 457\n','Number of leaves: 235\nSize of the tree: 469\n','Number of leaves: 249\nSize of the tree: 497\n','Number of leaves: 241\nSize of the tree: 481\n','Number of leaves: 225\nSize of the tree: 449\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

optdigits,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,518,44,0,92.170819,7.829181,0,0.913006,0.016706,0.116493,9.281031,38.831039,1866.896085,33351.719618,-31484.823533,3.321879,59.344697,-56.022818,1717.884363,3.056734,92.01821,1,55,0.005917,3,0.994083,504,0,0,0.948276,1,0.973451,0.970909,0.999014,0.982143,0.921708,0.008727,0.991273,0.078292,0.92237,0.921708,0.921005,0.912935,0.966976,0.902734,0.921118,0.921708,0.3,0,0.296875,0,296.875,0,147742,2781178,312874,93.594306,10.818505,'Number of leaves: 208\nSize of the tree: 415\n',415,208,208
optdigits,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,517,45,0,91.992883,8.007117,0,0.911034,0.01799,0.124272,9.994772,41.424409,1866.864,40859.679465,-38992.815465,3.321822,72.704056,-69.382234,1703.033847,3.030309,91.224312,0.946429,53,0.003953,2,0.996047,504,0.053571,3,0.963636,0.946429,0.954955,0.950067,0.970532,0.93424,0.919929,0.008858,0.991142,0.080071,0.921149,0.919929,0.920231,0.911536,0.958461,0.870269,0.92012,0.919929,0.332,0,0.3125,0,312.5,0,144322,2781178,312874,92.704626,10.765125,'Number of leaves: 203\nSize of the tree: 405\n',405,203,203
optdigits,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,505,57,0,89.857651,10.142349,0,0.887307,0.021551,0.134208,11.973136,44.736227,1866.864,49446.559098,-47579.695098,3.321822,87.983201,-84.661379,1673.147109,2.97713,89.623406,0.946429,53,0.005929,3,0.994071,503,0.053571,3,0.946429,0.946429,0.946429,0.9405,0.977379,0.915299,0.898577,0.011299,0.988701,0.101423,0.899903,0.898577,0.898519,0.887657,0.948131,0.848303,0.898838,0.898577,0.3,0,0.234375,0,234.375,0,138166,2781178,312874,91.459075,10.729537,'Number of leaves: 194\nSize of the tree: 387\n',387,194,194
optdigits,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,510,52,0,90.747331,9.252669,0,0.897189,0.020781,0.132083,11.544875,44.027989,1866.896085,46241.554844,-44374.658759,3.321879,82.280347,-78.958468,1679.429172,2.988308,89.958364,0.982143,55,0.005929,3,0.994071,503,0.017857,1,0.948276,0.982143,0.964912,0.961136,0.988566,0.949461,0.907473,0.010291,0.989709,0.092527,0.908214,0.907473,0.907432,0.897409,0.950784,0.84265,0.907393,0.907473,0.286,0,0.28125,0,281.25,0,156634,2781178,312874,91.459075,10.782918,'Number of leaves: 221\nSize of the tree: 441\n',441,221,221
optdigits,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,521,41,0,92.704626,7.295374,0,0.918942,0.016575,0.116009,9.208643,38.669781,1866.876812,32294.555974,-30427.679163,3.321845,57.463623,-54.141778,1718.69881,3.058183,92.062786,1,56,0.003953,2,0.996047,504,0,0,0.965517,1,0.982456,0.980664,0.999965,0.999384,0.927046,0.008051,0.991949,0.072954,0.929001,0.927046,0.927279,0.919663,0.965313,0.888557,0.927042,0.927046,0.283,0,0.28125,0.015625,281.25,15.625,152530,2781178,312874,93.060498,10.427046,'Number of leaves: 215\nSize of the tree: 429\n',429,215,215
optdigits,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,497,65,0,88.434164,11.565836,0,0.871484,0.024462,0.143193,13.589952,47.73148,1866.853934,52695.115296,-50828.261362,3.321804,93.76355,-90.441746,1648.13367,2.932622,88.284018,0.981818,54,0.003945,2,0.996055,505,0.018182,1,0.964286,0.981818,0.972973,0.97006,0.990389,0.983598,0.884342,0.012898,0.987102,0.115658,0.885007,0.884342,0.884275,0.871638,0.945275,0.838961,0.884508,0.884342,0.286,0,0.296875,0,296.875,0,145006,2781178,312874,90.391459,11.085409,'Number of leaves: 204\nSize of the tree: 407\n',407,204,204
optdigits,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,500,62,0,88.967972,11.032028,0,0.877414,0.024252,0.143339,13.473544,47.780017,1866.882905,55898.047878,-54031.164973,3.321856,99.462719,-96.140863,1646.828925,2.930301,88.212759,0.927273,51,0.001972,1,0.998028,506,0.072727,4,0.980769,0.927273,0.953271,0.948814,0.960714,0.916558,0.88968,0.012303,0.987697,0.11032,0.892178,0.88968,0.890208,0.878371,0.94303,0.824413,0.890319,0.88968,0.254,0.015,0.265625,0,265.625,0,145006,2781178,312874,89.857651,10.88968,'Number of leaves: 204\nSize of the tree: 407\n',407,204,204
optdigits,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,516,46,0,91.814947,8.185053,0,0.909054,0.018483,0.123127,10.268263,41.042694,1866.873627,36582.223209,-34715.349582,3.321839,65.092924,-61.771085,1702.307773,3.029017,91.184949,0.981818,54,0.005917,3,0.994083,504,0.018182,1,0.947368,0.981818,0.964286,0.960523,0.988722,0.948533,0.918149,0.009117,0.990883,0.081851,0.918442,0.918149,0.917804,0.908989,0.96246,0.881266,0.918044,0.918149,0.285,0.016,0.28125,0,281.25,0,144322,2781178,312874,92.704626,10.960854,'Number of leaves: 203\nSize of the tree: 405\n',405,203,203
optdigits,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20251201.2114,5058,562,505,57,0,89.857651,10.142349,0,0.887299,0.022495,0.137413,12.497653,45.804652,1866.873627,49463.342567,-47596.46894,3.321839,88.013065,-84.691226,1662.077061,2.957432,89.029972,0.927273,51,0.005917,3,0.994083,504,0.072727,4,0.944444,0.927273,0.93578,0.928932,0.970594,0.92024,0.898577,0.011315,0.988685,0.101423,0.899531,0.898577,0.898398,0.887523,0.949904,0.85637,0.898485,0.898577,0.286,0,0.28125,0,281.25,0,150478,2781178,312874,91.103203,11.120996,'Number of leaves: 212\nSize of the tree: 423\n',423,212,212
