@relation 'AT: optdigits-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1,40-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.263input3-0.253input59-0.226input11-0.221input10+0.217input34... numeric
@attribute '0.25 input6+0.244input15-0.238input61+0.226class=7+0.225input7...' numeric
@attribute -0.294input44-0.265input45-0.248input36-0.248input37+0.235input39... numeric
@attribute '0.217input21-0.214input52+0.204input62+0.201input54+0.2  input46...' numeric
@attribute 0.274input55-0.266input53+0.246class=6+0.221input56+0.219class=7... numeric
@attribute -0.297input19+0.283input50-0.279class=5+0.275input42-0.263input27... numeric
@attribute '-0.275class=2-0.273input53-0.272input64+0.24 input36-0.229input63...' numeric
@attribute 0.308input22+0.257class=0-0.252class=5+0.234input52-0.223input2... numeric
@attribute '0.436class=8+0.25 input51+0.247input16-0.213input38+0.212input24...' numeric
@attribute 0.289class=9-0.236class=0-0.235input12+0.225input18+0.222class=4... numeric
@attribute '0.32 input6-0.274input24-0.238input4-0.215input60-0.207input16...' numeric
@attribute -0.438input41-0.362input49-0.334input33+0.225input2+0.218input58... numeric
@attribute '0.3  class=3-0.292input28+0.274input37-0.27class=9-0.269input20...' numeric
@attribute '-0.469input17-0.411input25-0.231input18+0.21 input64-0.185input9...' numeric
@attribute 0.418input56+0.411input48+0.252input17+0.242class=8+0.234input64... numeric
@attribute 0.567input33-0.427input57+0.331input41-0.267input49-0.212input32... numeric
@attribute 0.399input25-0.39input32+0.333input17-0.259input5-0.256input24... numeric
@attribute 0.324input12-0.261input32+0.234input46+0.226input52+0.224input38... numeric
@attribute 0.326input9-0.321class=1-0.284input57-0.271input26+0.263input5... numeric
@attribute '0.449input9+0.33 input8-0.257input32-0.241input58-0.209input2...' numeric
@attribute -0.445input9-0.418input32+0.333input48+0.265input57-0.217input46... numeric
@attribute -0.489input9-0.443input57+0.192input25+0.172input13+0.168input50... numeric
@attribute -0.406input48+0.331input5+0.248input61+0.242input64+0.217input36... numeric
@attribute -0.284class=1-0.249input60-0.248input26-0.241input61+0.241class=8... numeric
@attribute -0.295input33-0.291input48+0.279input49-0.268class=2+0.233class=9... numeric
@attribute 0.295input31+0.287input23+0.277input36+0.274input54-0.253input8... numeric
@attribute '0.34 input12+0.244class=8+0.241input7-0.237class=9-0.224input48...' numeric
@attribute 0.335input49-0.296input57-0.204input42+0.202input58+0.201input8... numeric
@attribute '-0.62input17+0.594input25+0.217input9+0.15 input13+0.142class=9...' numeric
@attribute 0.356input13-0.355input52+0.335class=9+0.211input36-0.205input30... numeric
@attribute 0.357input32-0.354input24-0.234input50+0.232input8+0.206input10... numeric
@attribute 0.377input50-0.282input59-0.263input3-0.254input49-0.254input20... numeric
@attribute '-0.321input50-0.264input45-0.253class=1+0.248class=2+0.23 input29...' numeric
@attribute 0.277input50-0.257input24-0.222input21+0.212input27+0.211input32... numeric
@attribute -0.365input53-0.275input35+0.273input46+0.259input31-0.239input14... numeric
@attribute '0.347input39+0.3  input53-0.277input10+0.267input45-0.228input30...' numeric
@attribute 0.295input13-0.251input11-0.249input19-0.235input8-0.232input31... numeric
@attribute 0.308input19+0.268input44+0.252input13-0.239input28-0.222input12... numeric
@attribute '0.339input44+0.302input54-0.237class=6+0.22 class=4+0.218input56...' numeric
@attribute 0.364input26-0.344input42+0.341input20-0.193class=5-0.168input52... numeric
@attribute 0.346input56-0.255input63+0.234input51-0.216input62-0.208input48... numeric
@attribute -0.314input30-0.278input56-0.253input31-0.248input7+0.222input23... numeric
@attribute 0.456input41-0.3input49-0.299input33+0.225input61+0.194input26... numeric
@attribute '0.37 input41-0.246input33-0.245input61-0.235input49+0.229input23...' numeric
@attribute -0.34input37-0.274input4-0.259input41-0.254class=0-0.253input7... numeric
@attribute -0.323input54+0.298input63+0.279input46+0.273input31+0.255input51... numeric

@data
0.694923,-1.728094,4.504813,-2.973287,-1.443121,0.42965,-0.255668,1.065166,-0.664027,-0.172875,0.321764,0.602054,0.378901,-0.198507,0.985642,0.493395,-0.427073,-0.783882,-0.608432,0.287377,0.044727,-0.822518,-1.269282,0.729774,1.040862,0.272543,-0.225708,-0.408856,-0.054758,-0.798894,0.789978,0.355679,0.397662,-0.343674,-0.456824,-0.046312,-0.109143,-0.167279,-1.040703,-0.305681,-0.347666,0.464551,-0.663104,0.254956,-1.129115,0.412146
0.733729,-3.220019,6.273214,-2.818324,-1.412869,1.576492,-1.115277,1.87261,-1.275754,0.26405,-0.73277,0.747316,0.539389,-0.829276,0.94754,0.944814,-0.850506,-0.560649,-1.842016,1.762205,0.710462,0.128023,-0.595911,-0.464189,0.289289,0.796243,0.393905,-0.924352,0.268658,0.540789,0.95307,-0.636075,-0.572534,-0.721641,0.288568,0.545814,0.625237,-0.118551,-0.137621,-0.152294,0.702053,0.149837,0.227611,-0.476848,0.08968,0.293254
0.616408,3.958456,-0.788593,-1.850783,1.956507,1.62952,2.878345,2.001536,-2.321148,0.661622,-0.281724,-1.278053,0.147087,-0.234394,-0.067994,-0.078179,-0.82411,-0.551937,-0.232928,0.496436,-0.415543,0.487586,0.532417,0.589395,-0.005923,-0.393582,-0.711587,0.114947,-0.283304,-0.299607,0.234615,0.398881,-0.415102,-0.408309,-1.1202,0.021427,-0.307914,-0.318409,0.140573,0.442295,-0.456837,0.16469,-0.111672,0.347603,0.391976,-0.380213
4.44404,2.138514,0.190008,1.427313,-1.791137,-1.742372,-2.134101,-0.250842,-0.550093,2.078321,1.157892,0.853602,-0.085579,0.281893,0.437803,-0.364254,-0.431727,0.498746,0.528856,-0.86669,1.070598,-0.210097,0.196186,-0.652102,-0.64826,0.401097,1.424273,0.191493,0.013037,-0.553889,-1.773633,-0.420255,0.352912,1.639821,0.231434,0.570625,-1.026295,-0.359947,-0.615102,0.329606,0.651681,-0.504821,1.113397,-0.800532,-0.036842,0.251456
-0.040516,-4.074802,1.178093,-0.932481,1.796095,-1.783836,1.824111,-1.545317,0.208944,1.006614,-0.562799,0.40585,-0.325745,-0.310289,-1.255805,-0.034737,0.871295,-1.191816,-0.896949,0.078274,-0.35333,-1.035323,-0.924575,-0.435154,-0.038681,0.311326,-0.007398,-0.217017,-0.071899,-0.853681,-0.253588,0.123858,0.991386,-0.384859,-0.337103,0.567613,0.553239,-0.468512,-0.944081,0.328049,0.570942,-0.443721,0.230623,0.034768,0.262253,-0.859827
-3.782782,-1.294425,-1.23395,0.67183,1.70891,-0.312349,-5.010773,1.627076,-0.977461,1.023296,1.964238,-1.343771,1.133515,1.921569,1.367501,-0.348844,-0.213571,0.072412,-0.983543,1.008371,-0.720251,0.968412,0.984133,0.89123,0.401044,-0.928075,-0.861289,-0.033907,0.295109,-0.055983,0.119519,-0.613135,0.903215,0.684846,-0.278218,-0.086949,0.669173,0.802299,-0.625909,-0.208286,-0.898858,-0.787474,0.036415,0.090166,0.215736,-0.486656
1.81568,1.672113,1.502359,0.067831,-1.370781,-2.495483,-1.52608,-0.353536,-1.098245,-1.054803,0.657023,-0.992782,-1.370321,0.594761,-0.943499,-0.435461,0.838028,-0.73773,1.237115,-0.162722,-0.203595,-0.435964,-0.404587,0.098467,-0.866772,-0.603029,0.845148,0.448217,-0.230678,-0.919233,-0.18839,-0.512655,0.436063,-0.448764,0.260575,0.289606,0.753698,-0.508997,-0.013109,0.533316,-0.705373,-1.118813,-0.243173,0.775705,0.283751,0.157067
-0.469528,0.855138,1.194949,-0.17297,-2.310447,-3.019474,-1.151338,-1.15112,-0.713583,-0.968199,0.295713,-1.02173,-0.734453,0.537748,-1.070749,-0.3012,0.647617,-0.437622,0.537451,0.656712,-0.279811,0.2877,-1.085487,0.890687,-1.126151,-0.241334,0.698843,-0.004757,-0.025386,-0.536855,-0.831783,-0.128677,-0.094995,-0.091245,0.228897,-0.817418,0.519432,-0.197435,-0.28242,0.2029,0.396357,0.406608,0.424877,0.275961,0.749979,0.550966
2.667005,-0.370874,3.655236,-2.921071,-1.735774,0.995226,-1.084564,0.748361,0.37273,-2.296235,1.602712,0.349886,-1.661425,0.549394,0.990129,-0.049112,0.692938,0.144418,-0.137288,-0.042414,-0.682756,0.53563,-0.567145,-0.152081,-0.182656,1.096333,0.408654,-2.035393,0.809795,0.119428,-1.225017,-0.749924,-0.767655,1.146872,-0.286203,0.972439,-0.65498,0.365997,-0.577269,1.082691,0.143668,1.120289,-0.007919,0.945375,0.518159,-0.198324
-1.307626,-1.933658,0.475643,-0.12422,-0.932065,-1.915012,1.763598,0.567662,1.511409,1.635801,-1.78704,-0.350405,-0.053174,-0.888653,0.610662,0.649228,-1.488896,0.464686,-0.887355,1.430488,1.034863,0.811363,0.075253,0.063106,0.087183,-0.188471,2.274394,-0.525635,0.016233,-0.81729,-0.408117,0.295834,0.285607,-0.533832,-0.186917,1.003507,0.927399,-0.044648,0.084461,1.293915,0.391474,0.667072,-0.219018,0.92582,-0.281683,-0.442509
2.626167,7.684553,-0.224666,-3.313934,4.743291,-0.49734,-0.845246,-0.683608,2.616804,-1.234661,-0.560755,1.192944,-1.898073,-1.314566,-0.34403,0.940188,0.982899,-0.857467,-1.307839,2.775058,1.229423,-0.034807,0.673342,-1.017392,1.050185,0.254444,0.577647,0.354318,0.148611,0.280365,1.45037,-0.414214,2.330868,2.151639,2.026539,0.34289,-1.123874,-1.290063,-0.051638,-0.891326,0.575009,-1.191327,-0.069706,-0.329332,0.229091,0.13525
